"","Id","Id2","age60_perc","bachelor_perc","Geography","Year","est.white.percent","est.black.percent"
"143","0500000US06013",6013,18.3,8.4,"Contra Costa County, California",2016,0.580421398,0.085816829
"144","0500000US06013",6013,18.3,8.4,"Contra Costa County, California",2017,0.57138898,0.082105454
"145","0500000US06013",6013,18.3,10.7,"Contra Costa County, California",2010,0.641884184,0.092585012
"146","0500000US06013",6013,18.3,10.7,"Contra Costa County, California",2011,0.638599151,0.091686865
"147","0500000US06013",6013,18.3,10.7,"Contra Costa County, California",2012,0.628441909,0.090426335
"148","0500000US06013",6013,18.3,10.7,"Contra Costa County, California",2013,0.610719198,0.088440466
"149","0500000US06013",6013,18.3,10.7,"Contra Costa County, California",2014,0.593695533,0.084728422
"150","0500000US06013",6013,18.3,10.7,"Contra Costa County, California",2015,0.567703429,0.089065405
"151","0500000US06013",6013,18.3,10.7,"Contra Costa County, California",2016,0.580421398,0.085816829
"152","0500000US06013",6013,18.3,10.7,"Contra Costa County, California",2017,0.57138898,0.082105454
"153","0500000US06013",6013,18.3,10.3,"Contra Costa County, California",2010,0.641884184,0.092585012
"154","0500000US06013",6013,18.3,10.3,"Contra Costa County, California",2011,0.638599151,0.091686865
"155","0500000US06013",6013,18.3,10.3,"Contra Costa County, California",2012,0.628441909,0.090426335
"156","0500000US06013",6013,18.3,10.3,"Contra Costa County, California",2013,0.610719198,0.088440466
"157","0500000US06013",6013,18.3,10.3,"Contra Costa County, California",2014,0.593695533,0.084728422
"158","0500000US06013",6013,18.3,10.3,"Contra Costa County, California",2015,0.567703429,0.089065405
"159","0500000US06013",6013,18.3,10.3,"Contra Costa County, California",2016,0.580421398,0.085816829
"160","0500000US06013",6013,18.3,10.3,"Contra Costa County, California",2017,0.57138898,0.082105454
"161","0500000US06013",6013,18.3,10.2,"Contra Costa County, California",2010,0.641884184,0.092585012
"162","0500000US06013",6013,18.3,10.2,"Contra Costa County, California",2011,0.638599151,0.091686865
